gorev_yeri,masraf_merkezi_kodu,masraf_merkezi_adi,sirket,aktif
GPP Project,GPP,GPP Project,UST LUGA,E
Amursky Gas Processing Plant,AGPP,Amursky Gas Processing Plant,RHI,E
Ust Luga Fabrication - GPC (RHI),ULF-GPC-RHI,Ust Luga Fabrication - GPC (RHI),RHI,E
ALNG2-GBS Project,ALNG2-GBS,ALNG2-GBS Project,RHI,E
RHI Russia - Headquarter (Moscow),HQ-MOSCOW,RHI Russia - Headquarter (Moscow),RHI,E
Ust Luga Steel Package,UL-STEEL,Ust Luga Steel Package,UST LUGA,E
Udokan (GMK),UDOKAN,Udokan (GMK),RHI,E
ALNG2-Gydan,ALNG2-GYDAN,ALNG2-Gydan,RHI,E
Ust Luga Fabrication - GPC (ULTK),ULF-GPC-ULTK,Ust Luga Fabrication - GPC (ULTK),RHI,E
Project Control Office,PCO,Project Control Office,UST LUGA,E
Murmansk - Kulonga,MRM-KULONGA,Murmansk - Kulonga,RHI,E
Ust-Luga – Reshetnikova Office,UL-RESHET,Ust-Luga - Reshetnikova Office,UST LUGA,E
Regional Management (RHI),RM-RHI,Regional Management (RHI),RHI,E
Engineering and technical support (Novosibirsk),NSK-ETS,Engineering and technical support (Novosibirsk),RHI,E
Krondex Production - RHI,KRONDEX-RHI,Krondex Production - RHI,RHI,E
VJK Murmansk ETAP 4-5,VJK-MRM,VJK Murmansk ETAP 4-5,RHI,E
LNG Mobilization Project,LNG-MOB,LNG Mobilization Project,UST LUGA,E
Ust Luga Main Camp 1,UL-CAMP1,Ust Luga Main Camp 1,UST LUGA,E
Krondex Production,KRONDEX,Krondex Production,RHI,E
GWP5B Novatek-Murmansk,GWP5B,GWP5B Novatek-Murmansk,RHI,E
GPC Camp Project,GPC-CAMP,GPC Camp Project,UST LUGA,E
Novosibirsk Technical Office,NSK-TO,Novosibirsk Technical Office,RHI,E
ESHI Transition,ESHI,ESHI Transition,RHI,E
AWP-1B Module Murmansk,AWP1B,AWP-1B Module Murmansk,RHI,E
QA/QC Services - Murmansk,QAQC-MRM,QA/QC Services - Murmansk,RHI,E
Renstroydetal - Ust-Luga GPC,RSD-UL-GPC,Renstroydetal - Ust-Luga GPC,RSS,E
Renservis - Lytkarino - Renservis,RSS-LYTKARINO,Renservis - Lytkarino,RSS,E
Renstroydetal - Lytkarino,RSD-LYTKARINO,Renstroydetal - Lytkarino,RSS,E
Catering  - Ust-Luga,RSS-CATERING,Catering - Ust-Luga,RSS,E
One Tower,RC-ONE-TOWER,One Tower,RC,E
Top Tower,RC-TOP-TOWER,Top Tower,RC,E
Icity Business Center,RC-ICITY,Icity Business Center,RC,E
Lakhta 2 Fit-out,RC-LAKHTA2,Lakhta 2 Fit-out,RC,E
Bsk Management Group,BSK-MGMT,Bsk Management Group,BSK,E
